"vehicle","colour","passing.distance","street","time","helmet","kerb","city"
"LGV or minibus","other",1.688,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.297,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.648,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.323,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",1.608,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",2.207,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.566,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.281,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","white",1.683,"urban street","After 15:15","No",0.5,"Salisbury"
"LGV or minibus","white",1.378,"urban street","After 15:15","No",0.5,"Salisbury"
"LGV or minibus","white",1.353,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","green",1.072,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.472,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","black",1.858,"urban street","After 15:15","No",0.5,"Salisbury"
"taxi","black",1.244,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",1.618,"main road","After 15:15","No",0.5,"Salisbury"
"LGV or minibus","white",2.02,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","black",1.711,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.806,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",1.534,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",2.487,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",2.124,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",2.468,"main road","After 15:15","No",0.5,"Salisbury"
"HGV","silver or grey",1.856,"main road","After 15:15","No",0.5,"Salisbury"
"LGV or minibus","white",1.29,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.236,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.219,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",1.289,"main road","After 15:15","No",0.5,"Salisbury"
"LGV or minibus","white",1.656,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",1.197,"main road","After 15:15","No",0.5,"Salisbury"
"SUV or pickup","blue",1.105,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",1.405,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",0.878,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.498,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",1.677,"main road","After 15:15","No",0.5,"Salisbury"
"SUV or pickup","blue",1.472,"main road","After 15:15","No",0.5,"Salisbury"
"PTW","red",1.331,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","black",1.331,"main road","After 15:15","No",0.5,"Salisbury"
"LGV or minibus","silver or grey",2.509,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",2.622,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","green",1.287,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.653,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.693,"main road","After 15:15","No",0.5,"Salisbury"
"LGV or minibus","black",1.799,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",2.205,"main road","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",2.003,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.853,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","black",1.45,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",1.233,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.139,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",1.871,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","silver or grey",1.647,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.793,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.933,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","green",1.634,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","white",1.601,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",2.197,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","white",1.894,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",1.541,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",1.955,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",0.883,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","green",1.393,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.198,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",2.004,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","silver or grey",2.015,"main road","After 15:15","Yes",0.5,"Salisbury"
"bus","green",1.277,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.519,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.541,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","red",0.947,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","red",1.648,"main road","After 15:15","Yes",0.5,"Salisbury"
"PTW","blue",1.777,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","white",2.464,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","silver or grey",2.528,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","white",1.423,"main road","After 15:15","Yes",0.5,"Salisbury"
"PTW","blue",1.679,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.811,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",1.66,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","black",1.402,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","green",1.286,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","white",1.725,"main road","After 15:15","Yes",0.5,"Salisbury"
"SUV or pickup","silver or grey",1.325,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.541,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",1.464,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","white",1.536,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","red",1.15,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","red",1.424,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","black",1.674,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",1.841,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","green",2.01,"main road","After 15:15","Yes",0.5,"Salisbury"
"bus","red",1.561,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","other",2.14,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","silver or grey",1.857,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","blue",1.878,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","white",1.598,"main road","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","white",1.349,"main road","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","white",1.541,"residential street","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.95,"urban street","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","blue",1.355,"urban street","After 15:15","Yes",0.5,"Salisbury"
"LGV or minibus","white",1.585,"urban street","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",1.458,"urban street","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",1.239,"urban street","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","silver or grey",1.406,"urban street","After 15:15","Yes",0.5,"Salisbury"
"ordinary car","other",2.364,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.744,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",2.385,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","white",1.904,"urban street","After 15:15","No",0.5,"Salisbury"
"SUV or pickup","silver or grey",1.822,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.481,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.328,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","red",1.609,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","white",1.151,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.155,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.398,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.371,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.753,"residential street","After 15:15","No",0.5,"Salisbury"
"ordinary car","white",1.313,"residential street","After 15:15","No",0.5,"Salisbury"
"ordinary car","black",1.114,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.738,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.624,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","other",1.34,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",2.264,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","green",1.345,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","green",1.631,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","black",1.339,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.629,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","blue",1.346,"urban street","After 15:15","No",0.5,"Salisbury"
"ordinary car","silver or grey",1.962,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",1.706,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","white",1.682,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.961,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.842,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.571,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.699,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.569,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",2.018,"main road","After 15:15","No",0.25,"Salisbury"
"bus","green",0.773,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.457,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.557,"main road","After 15:15","No",0.25,"Salisbury"
"bus","red",1.281,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.018,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","white",1.201,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.151,"main road","After 15:15","No",0.25,"Salisbury"
"HGV","white",1.916,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.714,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.952,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",1.784,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","white",2.077,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.254,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","red",2.376,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.674,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.226,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",2.204,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",2.307,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.904,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.826,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","black",1.925,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","blue",1.137,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.105,"main road","After 15:15","Yes",0.25,"Salisbury"
"LGV or minibus","white",1.613,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.71,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.304,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","green",1.701,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","silver or grey",1.527,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.585,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","green",1.536,"main road","After 15:15","Yes",0.25,"Salisbury"
"LGV or minibus","green",1.622,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.783,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","red",1.246,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.384,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.464,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.664,"main road","After 15:15","Yes",0.25,"Salisbury"
"LGV or minibus","white",1.693,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.594,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.783,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.568,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.526,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.917,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.852,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.712,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.533,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.624,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.841,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.443,"main road","After 15:15","Yes",0.25,"Salisbury"
"LGV or minibus","white",1.173,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.37,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","blue",1.247,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.205,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","blue",1.433,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.574,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.351,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",1.41,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.437,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",2.407,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.453,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.341,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.335,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.497,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","red",1.587,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.815,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",2.26,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","red",2.016,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","green",0.954,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.801,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",1.407,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.513,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.323,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",1.898,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.446,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.975,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.608,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.172,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.37,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.553,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.739,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.3,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.695,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.955,"main road","After 15:15","No",0.25,"Salisbury"
"PTW","red",1.924,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.944,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.079,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",1.673,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.657,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.762,"main road","After 15:15","No",0.25,"Salisbury"
"LGV or minibus","blue",2.21,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.399,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.121,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","green",1.846,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.811,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.948,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.877,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.098,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.031,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.62,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.399,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","white",1.46,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.536,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",1.482,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.725,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","white",2.08,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.019,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.474,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.621,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.183,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.234,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",1.636,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.5,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.648,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.46,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.553,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.913,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",0.394,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.831,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.56,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",0.882,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",3.56,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.014,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.585,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","silver or grey",1.976,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.382,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.621,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.845,"main road","After 15:15","No",0.25,"Salisbury"
"bus","green",1.219,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.681,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.327,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",2.251,"main road","After 15:15","No",0.25,"Salisbury"
"bus","red",1.495,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","silver or grey",2.041,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.265,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.474,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.314,"main road","After 15:15","No",0.25,"Salisbury"
"PTW","blue",2.703,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",2.156,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","white",1.927,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.123,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.541,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","white",1.455,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.116,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.199,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.993,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.506,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.587,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.655,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.861,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","silver or grey",1.195,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.303,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.101,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.873,"main road","After 15:15","No",0.25,"Salisbury"
"bus","green",1.774,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",2.293,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","white",2.044,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.526,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.601,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","other",1.634,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.605,"main road","After 15:15","No",0.25,"Salisbury"
"LGV or minibus","red",2.057,"main road","After 15:15","No",1.25,"Salisbury"
"taxi","green",1.714,"main road","After 15:15","No",1.25,"Salisbury"
"taxi","blue",1.055,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",2.023,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",1.624,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","black",1.96,"main road","After 15:15","No",1.25,"Salisbury"
"HGV","red",1.327,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.398,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",1.425,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","green",1.44,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","green",1.066,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",0.636,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","red",1.15,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","other",1.208,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.58,"main road","After 15:15","No",1.25,"Salisbury"
"LGV or minibus","silver or grey",1.905,"urban street","After 15:15","No",1.25,"Salisbury"
"SUV or pickup","white",1.505,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.477,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","white",1.088,"urban street","After 15:15","No",1.25,"Salisbury"
"SUV or pickup","green",2.023,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","red",1.286,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.559,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",1.697,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.589,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","red",2.002,"urban street","After 15:15","No",1.25,"Salisbury"
"SUV or pickup","black",1.245,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",2.42,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",3.787,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","black",1.581,"urban street","After 15:15","No",1.25,"Salisbury"
"LGV or minibus","silver or grey",1.204,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.831,"residential street","After 15:15","No",1.25,"Salisbury"
"taxi","silver or grey",1.617,"residential street","After 15:15","No",1.25,"Salisbury"
"ordinary car","black",1.023,"urban street","After 15:15","No",1.25,"Salisbury"
"taxi","blue",1.047,"urban street","After 15:15","No",1.25,"Salisbury"
"LGV or minibus","white",1.112,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.007,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",1.091,"urban street","After 15:15","No",1.25,"Salisbury"
"LGV or minibus","red",1.304,"urban street","After 15:15","No",1.25,"Salisbury"
"SUV or pickup","green",1.431,"urban street","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",1.333,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","black",1.275,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",1.231,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","green",1.28,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.642,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","red",0.845,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",2.214,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.514,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","black",1.529,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.154,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","green",1.679,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","other",1.491,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",1.631,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",1.55,"main road","After 15:15","No",1.25,"Salisbury"
"taxi","white",1.371,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.955,"residential street","After 15:15","No",1.25,"Salisbury"
"bus","red",0.893,"residential street","After 15:15","No",1.25,"Salisbury"
"SUV or pickup","red",1.43,"main road","After 15:15","No",1.25,"Salisbury"
"SUV or pickup","black",2.041,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",1.058,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","silver or grey",1.345,"main road","After 15:15","No",1.25,"Salisbury"
"SUV or pickup","blue",1.515,"main road","After 15:15","No",1.25,"Salisbury"
"ordinary car","blue",1.343,"main road","After 15:15","No",1.25,"Salisbury"
